"","V1","V2"
"1",154.553010027416,166.869444009366
"2",158.74724914099,171.351604651003
"3",164.942720277365,177.346138252633
"4",142.065998900444,152.914350728297
"5",145.839278016933,158.23529598413
"6",149.299133152979,161.337736718368
"7",152.758988289025,164.781419335045
"8",158.098861481688,169.225581554536
"9",131.150074650488,140.875381362752
"10",133.594712463145,144.168784421812
"11",137.457248791585,148.89615503649
"12",141.319785120025,153.998095904423
"13",144.045256278542,156.085297314543
"14",146.77072743706,158.38856897802
"15",151.255002686012,161.300307402839
"16",123.297773812113,134.334466681445
"17",124.179386139089,134.067199484909
"18",126.127792011725,136.369293054553
"19",128.076197884361,138.952530454896
"20",130.255600123834,141.100915797468
"21",132.435002363306,143.505130997232
"22",136.065690806555,146.001055534659
"23",139.696379249805,148.732248445004
"24",144.354585789309,151.915603337322
"25",77.8645666887795,120.589776264816
"26",79.187936214255,120.748674401896
"27",80.5113057397306,121.323894944172
"28",83.0850014491466,125.224099154137
"29",85.6586971585625,129.533889560615
"30",87.8140233611337,133.247918005462
"31",96.267248003093,130.688721885211
"32",98.7872481423174,134.847966260746
"33",109.496668418502,150.011284409968
"34",111.289494562862,152.14606014087
"35",111.65565396526,152.225536457646
"36",117.051886032967,133.344749221087
"37",118.312248402218,131.498972514312
"38",118.982791921283,130.798123198829
"39",119.653335440348,130.539234410295
"40",121.105509372963,132.203976153934
"41",122.557683305577,134.100638142902
"42",123.053951456082,133.61396461127
"43",123.550219606587,133.381640963053
"44",128.086125334568,136.196639117476
"45",132.62203106255,139.361607574515
"46",137.454168892606,142.822170168554
"47",80.4849290022519,125.444313616775
"48",79.4919398330611,122.156421874148
"49",78.4989506638703,119.21428571357
"50",80.7992586781824,122.514863549087
"51",83.0995666924945,126.081986592486
"52",84.4738421040277,128.13057704839
"53",85.8481175155608,130.457385778582
"54",90.1241500806158,137.383963658441
"55",94.4001826456708,144.619631642455
"56",97.7786248143479,150.877177453105
"57",101.157066983025,157.455182757781
"58",92.4272480048104,125.724583187132
"59",93.2994943572478,126.719300422761
"60",94.1717407096852,127.895676326346
"61",96.6442045542263,131.639439281979
"62",99.1166683987674,135.655869830001
"63",107.277338719562,147.136495677991
"64",109.453588881182,149.918242554254
"65",108.357900382036,147.484073269788
"66",107.26221188289,145.236005169427
"67",113.310110627339,132.287382942876
"68",114.147411338965,130.178949427436
"69",114.984712050591,128.70545106802
"70",116.016107044737,128.189473997799
"71",117.047502038884,128.009903318874
"72",118.506994821386,129.942726719929
"73",119.966487603888,132.047303706925
"74",119.462574564726,129.6535916103
"75",118.958661525564,127.500607362635
"76",123.222628880033,129.592770858052
"77",127.486596234502,132.100152841251
"78",134.373299339402,137.073730968826
"79",81.6796029424646,129.83598974502
"80",83.1052913157242,130.668193585953
"81",79.7959434518672,124.010652293559
"82",76.4865955880101,117.697602567415
"83",78.5135159072183,120.266554969057
"84",80.5404362264265,123.106799806222
"85",81.1336608469216,123.376902793591
"86",81.7268854674168,123.920035338151
"87",86.9726463673879,132.530721784841
"88",92.2184072673591,141.480739584997
"89",95.2601827965293,147.666796586325
"90",98.3019583256996,154.350742152865
"91",99.9192409660856,155.299808675527
"92",101.297501708332,150.786958379686
"93",101.132610431794,148.939979169332
"94",102.305979875939,149.090929662635
"95",103.479349320085,149.352047992007
"96",99.1937336189295,138.725548205438
"97",96.2170305995568,133.275317485864
"98",92.7830813444017,127.309895343392
"99",89.3491320892467,121.667873034178
"100",90.7126827527621,123.398762209307
"101",92.0762334162774,125.334031697839
"102",94.5011609661352,128.679122881565
"103",96.926088515993,132.35154622456
"104",102.498334841743,141.567910674357
"105",105.058009020622,144.628204899451
"106",107.617683199502,148.10035361948
"107",105.060146798812,143.051579997548
"108",102.502610398122,138.250054339088
"109",103.048516288384,136.710570102673
"110",103.594422178645,135.335494893907
"111",105.683661339184,135.700952177757
"112",107.772900499722,136.231477741901
"113",110.828697590962,129.612592826798
"114",111.242936644962,127.820200697867
"115",111.657175698963,126.500491250929
"116",113.049422168192,125.96607143711
"117",114.441668637421,125.799676728859
"118",115.90848026981,127.933252940244
"119",117.375291902199,130.290486785297
"120",115.871197673371,126.067058920931
"121",114.367103444542,122.12601631933
"122",118.359132425498,123.399609440585
"123",122.351161406454,125.264803555267
"124",80.5143492173998,128.271979304302
"125",81.2621028746465,128.205201605603
"126",78.7737513676569,123.084729959606
"127",76.2853998606674,118.239102752889
"128",76.1825012865449,117.45679009379
"129",76.0796027124225,116.824367174434
"130",73.6255265842475,111.571528496737
"131",71.1714504560726,106.600649361624
"132",78.1324831424902,118.007558637673
"133",85.0935158289078,129.658370055815
"134",90.7588601504021,139.548702197787
"135",96.4242044718963,149.78348443976
"136",98.54965746956,152.580833689231
"137",100.675110467224,155.663900561521
"138",101.130327894842,155.496639403154
"139",101.585545322461,155.603314065102
"140",101.55813582708,153.433493951901
"141",101.530726331699,151.401140348802
"142",101.820545147735,150.124574330596
"143",102.11036396377,148.964682415077
"144",97.9437154909758,138.61122822125
"145",95.5213060021725,133.835166430343
"146",92.7334617901729,128.791855790331
"147",89.9456175781733,123.97301021186
"148",90.6526464935811,124.312024306188
"149",91.3596754089889,124.841363464071
"150",92.8498384758169,126.767029739154
"151",94.3400015426449,128.953122159191
"152",96.6344036485217,132.42554468219
"153",98.9288057543985,136.206275446096
"154",100.556740727909,138.612123797904
"155",102.184675701419,141.33493088375
"156",100.928606788577,138.333723247618
"157",99.6725378757343,135.527791382797
"158",100.313624908767,134.207825860151
"159",100.9547119418,133.061230148561
"160",102.960726474848,133.39242935968
